Success,Time,Radius,Dataset
True,86,0.017,full
True,59,0.017,full
True,40,0.017,full
True,48,0.017,full
True,35,0.017,full
True,31,0.017,full
True,57,0.017,full
True,60,0.017,full
True,32,0.017,full
True,25,0.017,full
True,60,0.017,full
True,71,0.017,full
True,33,0.017,full
True,57,0.017,full
True,67,0.017,full
True,42,0.017,full
True,33,0.017,full
True,36,0.017,full
True,63,0.017,full
True,75,0.017,full
True,53,0.017,full
True,46,0.017,full
True,60,0.019,TD3
True,69,0.019,TD3
True,27,0.019,TD3
True,24,0.019,TD3
True,66,0.019,TD3
True,18,0.019,TD3
True,55,0.019,TD3
True,26,0.019,TD3
True,18,0.019,TD3
True,39,0.019,TD3
True,15,0.019,TD3
True,46,0.019,TD3
True,95,0.019,TD3
True,51,0.019,TD3
True,40,0.019,TD3
True,41,0.019,TD3
True,56,0.019,TD3
True,72,0.019,TD3
True,30,0.019,TD3
True,61,0.019,TD3
True,46,0.019,TD3
True,79,0.019,TD3
True,64,0.019,TD3
True,26,0.019,TD3
True,49,0.019,TD3
True,76,0.019,TD3
True,46,0.019,TD3
True,52,0.019,TD3
True,48,0.019,TD3
True,19,0.019,TD3
True,69,0.019,TD3
True,79,0.019,TD3
True,58,0.019,TD3
True,47,0.019,TD3
True,35,0.019,TD3
True,75,0.019,TD3
True,31,0.019,TD3
True,56,0.019,TD3
True,65,0.019,TD3
True,27,0.019,TD3
True,33,0.019,TD3
True,79,0.019,TD3
True,63,0.019,TD3
True,43,0.019,TD3
True,51,0.019,TD3
True,48,0.019,TD3
True,20,0.019,TD3
True,27,0.019,TD3
True,36,0.019,TD3
True,78,0.019,TD3
True,58,0.019,TD3
True,64,0.019,TD3
True,46,0.019,TD3
True,22,0.019,TD3
True,27,0.019,TD3
True,66,0.019,TD3
True,29,0.019,TD3
True,79,0.019,TD3
True,80,0.019,TD3
True,88,0.019,TD3
True,83,0.019,TD3
True,96,0.019,TD3
True,38,0.019,TD3
True,30,0.019,TD3
True,51,0.019,TD3
True,47,0.019,TD3
True,45,0.019,TD3
True,37,0.019,TD3
True,49,0.019,TD3
True,70,0.019,TD3
True,58,0.019,TD3
True,53,0.019,TD3
True,32,0.019,TD3
True,26,0.019,TD3
True,76,0.019,TD3
True,82,0.019,TD3
True,65,0.019,TD3
True,83,0.019,TD3
True,39,0.019,TD3
True,23,0.019,TD3
True,49,0.019,TD3
True,41,0.019,TD3
True,42,0.019,TD3
True,56,0.019,TD3
True,28,0.019,TD3
True,33,0.019,TD3
True,17,0.019,TD3
True,64,0.019,TD3
True,56,0.019,TD3
True,75,0.019,TD3
True,67,0.019,TD3
True,43,0.019,TD3
True,50,0.019,TD3
True,15,0.019,TD3
True,83,0.019,TD3
True,56,0.019,TD3
True,86,0.019,TD3
True,36,0.019,TD3
True,66,0.019,TD3
True,60,0.019,TD3
True,68,0.018,TD3
True,70,0.018,TD3
True,64,0.018,TD3
True,32,0.018,TD3
True,43,0.018,TD3
True,49,0.018,TD3
True,43,0.018,TD3
True,82,0.018,TD3
True,35,0.018,TD3
True,40,0.018,TD3
True,41,0.018,TD3
True,40,0.018,TD3
True,51,0.018,TD3
True,60,0.018,TD3
True,68,0.018,TD3
True,19,0.018,TD3
True,61,0.018,TD3
